Numbers,Min,Max,Time - Date
4  4  5  4  4,3,5,13:17:37 - 03/11/26
5  4  3  3  3,3,5,18:45:11 - 03/11/26
3  4  5  4  5,3,5,18:45:27 - 03/11/26
4  3  4  4  3,3,5,18:45:27 - 03/11/26
5  3  5  5  4,3,5,18:45:27 - 03/11/26
5  5  3  4  5,3,5,18:45:27 - 03/11/26
5  4  5  5  4,3,5,18:45:27 - 03/11/26
5  5  4  4  3,3,5,18:45:27 - 03/11/26
5  3  3  4  4,3,5,18:45:27 - 03/11/26
4  4  3  4  3,3,5,18:45:32 - 03/11/26
5  3  3  5  4,3,5,18:45:32 - 03/11/26
5  4  5  3  4,3,5,18:45:32 - 03/11/26
4  3  5  3  4,3,5,18:45:33 - 03/11/26
5  4  4  3  4,3,5,18:46:40 - 03/11/26
3  5  3  5  5,3,5,18:46:51 - 03/11/26
5  5  3  4  5,3,5,18:46:51 - 03/11/26
3  3  3  5  4,3,5,18:46:51 - 03/11/26
4  5  3  3  4,3,5,18:47:52 - 03/11/26
3  5  3  5  5,3,5,18:47:52 - 03/11/26
3  5  3  5  5,3,5,18:47:52 - 03/11/26
5  5  5  3  4,3,5,18:48:39 - 03/11/26
3  5  4  4  4,3,5,18:48:39 - 03/11/26
4  4  4  3  5,3,5,18:48:39 - 03/11/26
3  5  4  3  5,3,5,18:50:30 - 03/11/26
5  3  5  5  5,3,5,18:50:30 - 03/11/26
4  4  5  4  5,3,5,18:50:31 - 03/11/26
4  4  5  5  3,3,5,18:50:39 - 03/11/26
5  4  5  3  5,3,5,18:50:39 - 03/11/26
5  5  5  3  3,3,5,18:50:39 - 03/11/26
4,3,5,18:50:40 - 03/11/26
3,3,5,18:50:40 - 03/11/26
3,3,5,18:50:40 - 03/11/26
4,3,5,18:50:40 - 03/11/26
5  3  3  5  5,3,5,18:50:58 - 03/11/26
4  4  3  4  5,3,5,18:50:58 - 03/11/26
5  4  4  4  5,3,5,18:50:58 - 03/11/26
5  3  4  3  4,3,5,19:01:44 - 03/11/26
3,3,5,19:01:50 - 03/11/26
3,3,5,19:01:51 - 03/11/26
3  4  4  5  4,3,5,19:02:10 - 03/11/26
4  3  5  3  5,3,5,19:02:11 - 03/11/26
3,3,5,19:02:13 - 03/11/26
3  4  4  3  5,3,5,19:02:14 - 03/11/26
3  5  4  4  4,3,5,19:02:14 - 03/11/26
4  3  4  3  3,3,5,19:02:14 - 03/11/26
5  4  3  5  3,3,5,19:02:14 - 03/11/26
5  5  4  3  4,3,5,19:02:15 - 03/11/26
4  5  4  5  3,3,5,19:02:15 - 03/11/26
3  5  5  3  3,3,5,19:02:15 - 03/11/26
5  5  4  5  4,3,5,19:02:15 - 03/11/26
3  4  4  5  4,3,5,19:02:15 - 03/11/26
3  5  4  4  5,3,5,19:02:15 - 03/11/26
5  5  5  4  5,3,5,19:02:16 - 03/11/26
3  3  3  4  4,3,5,19:02:17 - 03/11/26
5  4  3  5  3,3,5,19:02:17 - 03/11/26
4  3  3  3  5,3,5,19:02:17 - 03/11/26
4  4  4  5  5,3,5,19:02:17 - 03/11/26
3  4  3  3  4,3,5,19:02:17 - 03/11/26
5  3  3  3  3,3,5,19:02:18 - 03/11/26
3  4  3  3  4,3,5,19:02:18 - 03/11/26
3  3  5  5  3,3,5,19:02:18 - 03/11/26
3  4  3  3  5,3,5,19:02:18 - 03/11/26
4  4  4  5  3,3,5,19:02:19 - 03/11/26
3  5  4  3  3,3,5,19:02:19 - 03/11/26
4  5  4  5  4,3,5,19:02:19 - 03/11/26
3  3  5  3  4,3,5,19:02:19 - 03/11/26
4  4  3  5  4,3,5,19:03:09 - 03/11/26
4  4  3  3  3,3,5,19:03:09 - 03/11/26
5,3,5,19:03:09 - 03/11/26
4,3,5,19:03:09 - 03/11/26
4,3,5,19:03:09 - 03/11/26
5,3,5,19:03:10 - 03/11/26
4,3,5,19:03:10 - 03/11/26
4,3,5,19:03:10 - 03/11/26
3  5  5  5  5,3,5,19:03:13 - 03/11/26
27  7  34  14  36  36  44  44  16  10  34  16  34  10  52  53  11  24  40  50  46  49  5  8  19  48  15  45  17  45  31  41  21  13  4  23  45  23  27  29  31  52  30  31  26  13  30  10  51  39  40  15,3,53,19:03:16 - 03/11/26
10  3  17  10  20  43  49  21  24  28  12  48  37  18  22  8  23  53  15  10  8  11  45  12  36  34  40  35  45  48  39  3  38  37  32  34  50  12  51  29  41  6  26  18  30  7  8  6  29  26  41  51,3,53,19:06:24 - 03/11/26
19  8  43  35  12  25  42  9  37  13  28  44  25  11  24  29  32  50  47  35  37  40  36  21  26  27  20  51  34  46  22  12  39  49  38  47  18  42  51  49  5  14  29  11  44  14  8  36  27  46  15  50,3,53,19:26:39 - 03/11/26
31  20  33  20  30  31  8  36  22  26  43  35  53  51  14  29  19  27  7  6  39  51  10  13  5  18  33  22  21  45  46  42  30  47  16  23  15  15  24  40  32  11  39  21  3  11  29  19  39  17  12  29,3,53,19:26:39 - 03/11/26
47  31  38  7  14  24  46  13  18  20  37  35  48  24  35  39  43  46  18  6  9  14  14  37  10  9  29  51  11  47  51  8  14  24  44  24  51  41  5  34  34  32  25  28  48  14  43  53  15  3  5  14,3,53,19:26:40 - 03/11/26
